epoch,phase,epoch_loss,epoch_iou,pixel_acc,iou_Sidewalk,iou_Braille Guide Blocks,iou_Roadway,iou_Alley,iou_Bike Lane,iou_Caution Zone,iou_Cross walk
1,train,1.028040771176215,0.2569963521875289,0.6172803229065601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,val,0.7157897284065468,0.34203190907188086,0.7074931804998748,0.6978167295455933,0.17659001052379608,0.15240789949893951,0.7263696193695068,0.07383891195058823,0.46398985385894775,0.10321038216352463
2,train,0.6062536978599976,0.3692684364156658,0.6994977088272473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,0.5463300805160964,0.41762506875438965,0.7278657284649935,0.717047393321991,0.38609007000923157,0.20510093867778778,0.7394264340400696,0.11021776497364044,0.5431837439537048,0.22230908274650574
3,train,0.4964794603740277,0.4135681096793843,0.7135133111101343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,val,0.47656011970146844,0.44935175430947455,0.7362981456698794,0.7241344451904297,0.4351511597633362,0.23097220063209534,0.7489737868309021,0.12376458942890167,0.5874133706092834,0.295052707195282
4,train,0.43671191458393926,0.43651713887039495,0.7210933262421145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,val,0.4347124285456063,0.4658831677575042,0.7412993633071738,0.7241018414497375,0.4658668637275696,0.2520415782928467,0.7525838613510132,0.1309092491865158,0.6108802556991577,0.3247983157634735
5,train,0.3953297350074158,0.45497478402796243,0.7269995673023546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,val,0.40659503142038983,0.47839967971262726,0.7451920526615088,0.7305034399032593,0.49817320704460144,0.26161056756973267,0.7546993494033813,0.14240053296089172,0.6074914336204529,0.3539195656776428
6,train,0.3624310279581823,0.4669628714014884,0.7329283245180961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,val,0.3880753305511198,0.48671528394671454,0.7477430422472545,0.7329753041267395,0.5077294707298279,0.2649151384830475,0.7568462491035461,0.1500365287065506,0.6202825307846069,0.3742218315601349
7,train,0.33592977359586834,0.4802216243784444,0.737612490668636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,val,0.37477209991303045,0.4918821730475495,0.7500525934422911,0.7343294024467468,0.5161153674125671,0.27536487579345703,0.7618459463119507,0.15125741064548492,0.6166854500770569,0.38757652044296265
8,train,0.31158606875307704,0.4904094747945565,0.7427285041033407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,val,0.3696565848329793,0.4945719980675241,0.7505028715874994,0.7317065596580505,0.5180561542510986,0.2782481908798218,0.7600728273391724,0.15993182361125946,0.6171330213546753,0.3968553841114044
9,train,0.28774043319582127,0.5011198057406614,0.7484745190052412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,val,0.3636220011158266,0.5017894009749094,0.7515473585669075,0.7352460622787476,0.5446593165397644,0.27261418104171753,0.7608554363250732,0.1670876294374466,0.6303906440734863,0.4016726016998291
10,train,0.2668530016529317,0.5111486936102108,0.7532544754926315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,val,0.36192777320958563,0.5026974021524623,0.7525056446650911,0.7309971451759338,0.5501884818077087,0.28250741958618164,0.7612127065658569,0.17535509169101715,0.6242942214012146,0.39432665705680847
11,train,0.2451737537777343,0.5204245860682053,0.7593286181289841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,val,0.3707308376180953,0.5030898978744728,0.7522068436752039,0.7346164584159851,0.5459343791007996,0.2833697199821472,0.7614272832870483,0.17344744503498077,0.610210120677948,0.41262397170066833
12,train,0.22707480060405472,0.5316172426655179,0.7636601702358061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,val,0.3712708230899728,0.5061398977818696,0.7516846793442375,0.7283967733383179,0.5497636795043945,0.27946528792381287,0.7585453987121582,0.18871043622493744,0.6222512125968933,0.41584643721580505
13,train,0.20828836066585008,0.540720051547297,0.7691665965148223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,val,0.375960825793985,0.5074544613776,0.7518263901332307,0.72564697265625,0.563161313533783,0.2808477282524109,0.7602935433387756,0.19225147366523743,0.6190246939659119,0.4109555184841156
14,train,0.19309550827863264,0.5501425855216526,0.7731614851013104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,val,0.38480056325594586,0.5049091927383257,0.750761160266258,0.7225086688995361,0.5643735527992249,0.2843087315559387,0.754280686378479,0.19499443471431732,0.6203025579452515,0.39359569549560547
15,train,0.1797242434251876,0.5591015053444168,0.7765320843658551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,val,0.39116840518039203,0.5085848755594613,0.750848751294283,0.7286009788513184,0.570437490940094,0.26930445432662964,0.7544953227043152,0.20675699412822723,0.6235133409500122,0.4069858193397522
16,train,0.16661812134441875,0.5682379583112237,0.7800257737251878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,val,0.3907070941683175,0.5120969665223274,0.7524328190975667,0.7224892973899841,0.5724321007728577,0.26819056272506714,0.7575556039810181,0.21652336418628693,0.6399795413017273,0.4075081944465637
17,train,0.1555383705413666,0.5752984183986171,0.7827740694933119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,val,0.3997953972522763,0.5150764912798784,0.7505067569622095,0.7162737846374512,0.5786418914794922,0.2711073160171509,0.7576486468315125,0.22506183385849,0.6445101499557495,0.41229191422462463
18,train,0.14630111187797826,0.5832309772570928,0.7851871161674715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
