epoch,phase,epoch_loss,epoch_iou,pixel_acc,iou_Sidewalk,iou_Braille Guide Blocks,iou_Roadway,iou_Alley,iou_Bike Lane,iou_Caution Zone,iou_Cross walk
1,train,1.284870200011195,0.20046840079736952,0.5799117794175744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,val,0.9133226633071899,0.2797022730112076,0.6883984206558823,0.6728239059448242,0.054985687136650085,0.10730105638504028,0.7087143063545227,0.044728558510541916,0.3304980397224426,0.038864441215991974
2,train,0.7774949037298864,0.3168139805396398,0.6871947357412129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,0.7122913837432862,0.35574754221098764,0.7154176606760396,0.7035948634147644,0.23498091101646423,0.1307411789894104,0.7347676753997803,0.07281570136547089,0.503753125667572,0.10957937687635422
3,train,0.6358285874736552,0.37627347938868466,0.7069950908247818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,val,0.6025368366922651,0.405450428383691,0.7313306941614522,0.7151786088943481,0.3559193015098572,0.15811002254486084,0.7430980205535889,0.11433875560760498,0.5623434782028198,0.18916486203670502
4,train,0.5552876299741317,0.41280738086927504,0.720439903837641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,val,0.5448526399476188,0.4373771292822702,0.7424633337305737,0.7221307754516602,0.4017559587955475,0.18421877920627594,0.7463890314102173,0.15102143585681915,0.5963556170463562,0.25976821780204773
5,train,0.5011080546038491,0.43624897797902423,0.7313039482252461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,val,0.4983030651296888,0.456993670974459,0.7516686023055733,0.7285247445106506,0.44089841842651367,0.2016180008649826,0.7538936734199524,0.16803808510303497,0.6141601204872131,0.2918228209018707
6,train,0.4600753017834255,0.45261753051459386,0.7391300811276657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,val,0.4701749767575945,0.47026556730270386,0.755459023296059,0.7324826121330261,0.460159569978714,0.20805254578590393,0.7534939050674438,0.18065917491912842,0.6326021552085876,0.3244090676307678
7,train,0.42820425362003095,0.4674681382519858,0.745708954870678,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,val,0.4507486837250846,0.48153162258011956,0.7591438751716119,0.7330477833747864,0.4887385666370392,0.2212885469198227,0.75649094581604,0.18619821965694427,0.6429404616355896,0.3420167863368988
8,train,0.40221478338955213,0.47871701713321974,0.7497619081169107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,val,0.42529218792915346,0.49085693359375,0.7627578995444557,0.737916886806488,0.5066690444946289,0.23025469481945038,0.7589799761772156,0.19128446280956268,0.6487106084823608,0.3621829152107239
9,train,0.37860210371666214,0.4892589869547863,0.7538638928316612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,val,0.40754499435424807,0.4962412144456591,0.7651171541833258,0.7383794784545898,0.5022965669631958,0.2390407770872116,0.7633262872695923,0.1922326385974884,0.657209575176239,0.3812031149864197
10,train,0.35710903393978977,0.49869417353552215,0.7574736890282546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,val,0.4008759319782257,0.5028370354856764,0.7661814564234251,0.7421744465827942,0.5271112322807312,0.24310730397701263,0.7641599774360657,0.1968618929386139,0.6645764708518982,0.3818678855895996
11,train,0.33790108399326296,0.5070074660842921,0.7606100468759553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
